periodo,disciplina,situacaoDisciplina
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,CANCELADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,APROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,CANCELADO
2,Arquitetura_Organizacao,REPROVADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Arquitetura_Organizacao,MATRICULADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,APROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,REPROVADO
2,Fundamentos_Sistemas_Informacao,CANCELADO
