periodo,disciplina
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
1,Logica_Matematica
